state,county_name,candidate,party,mode,votes,Total Votes
Alabama,washington,Ron Crumpton,Democratic,regular,2393,8279
Alabama,washington,Richard C. Shelby,Republican,regular,5551,8279
Alabama,wilcox,Write in,Other,absentee,1,5665
Alabama,wilcox,Ron Crumpton,Democratic,absentee,190,5665
Alabama,wilcox,Richard C. Shelby,Republican,absentee,85,5665
Alabama,wilcox,Write in,Other,regular,3,5665
Alabama,wilcox,Ron Crumpton,Democratic,regular,3656,5665
Alabama,wilcox,Richard C. Shelby,Republican,regular,1730,5665
Alabama,winston,Write in,Other,absentee,2,10098
Alabama,winston,Ron Crumpton,Democratic,absentee,57,10098
Alabama,winston,Richard C. Shelby,Republican,absentee,295,10098
Alabama,winston,Write in,Other,regular,10,10098
Alabama,winston,Ron Crumpton,Democratic,regular,1212,10098
Alabama,winston,Richard C. Shelby,Republican,regular,8522,10098
Alaska,district 1,Write in,Other,regular,16,6413
Alaska,district 1,"Craig, Breck A.",New alliance,regular,31,6413
Alaska,district 1,"Gianoutsos, Ted",New alliance,regular,26,6413
Alaska,district 1,"Metcalfe, Ray",Democratic,regular,478,6413
Alaska,district 1,"Miller, Joe",Libertarian,regular,1292,6413
Alaska,district 1,"Murkowski, Lisa",Republican,regular,2002,6413
Alaska,district 1,"Stock, Margaret",New alliance,regular,452,6413
Alaska,district 1,Write in,Other,absentee,5,6413
Alaska,district 1,"Craig, Breck A.",New alliance,absentee,8,6413
Alaska,district 1,"Gianoutsos, Ted",New alliance,absentee,4,6413
Alaska,district 1,"Metcalfe, Ray",Democratic,absentee,137,6413
Alaska,district 1,"Miller, Joe",Libertarian,absentee,242,6413
Alaska,district 1,"Murkowski, Lisa",Republican,absentee,450,6413
Alaska,district 1,"Stock, Margaret",New alliance,absentee,92,6413
Alaska,district 1,Write in,Other,early,5,6413
Alaska,district 1,"Craig, Breck A.",New alliance,early,8,6413
Alaska,district 1,"Gianoutsos, Ted",New alliance,early,6,6413
Alaska,district 1,"Metcalfe, Ray",Democratic,early,187,6413
Alaska,district 1,"Miller, Joe",Libertarian,early,296,6413
Alaska,district 1,"Murkowski, Lisa",Republican,early,498,6413
Alaska,district 1,"Stock, Margaret",New alliance,early,178,6413
Alaska,district 2,Write in,Other,regular,14,5005
Alaska,district 2,"Craig, Breck A.",New alliance,regular,43,5005
Alaska,district 2,"Gianoutsos, Ted",New alliance,regular,40,5005
Alaska,district 2,"Metcalfe, Ray",Democratic,regular,316,5005
Alaska,district 2,"Miller, Joe",Libertarian,regular,1118,5005
Alaska,district 2,"Murkowski, Lisa",Republican,regular,1520,5005
Alaska,district 2,"Stock, Margaret",New alliance,regular,204,5005
Alaska,district 2,Write in,Other,absentee,4,5005
Alaska,district 2,"Craig, Breck A.",New alliance,absentee,12,5005
Alaska,district 2,"Gianoutsos, Ted",New alliance,absentee,6,5005
Alaska,district 2,"Metcalfe, Ray",Democratic,absentee,183,5005
Alaska,district 2,"Miller, Joe",Libertarian,absentee,240,5005
Alaska,district 2,"Murkowski, Lisa",Republican,absentee,513,5005
Alaska,district 2,"Stock, Margaret",New alliance,absentee,51,5005
Alaska,district 2,Write in,Other,early,1,5005
Alaska,district 2,"Craig, Breck A.",New alliance,early,7,5005
Alaska,district 2,"Gianoutsos, Ted",New alliance,early,3,5005
Alaska,district 2,"Metcalfe, Ray",Democratic,early,116,5005
Alaska,district 2,"Miller, Joe",Libertarian,early,194,5005
Alaska,district 2,"Murkowski, Lisa",Republican,early,335,5005
Alaska,district 2,"Stock, Margaret",New alliance,early,85,5005
Alaska,district 3,Write in,Other,regular,20,7452
Alaska,district 3,"Craig, Breck A.",New alliance,regular,61,7452
Alaska,district 3,"Gianoutsos, Ted",New alliance,regular,38,7452
Alaska,district 3,"Metcalfe, Ray",Democratic,regular,242,7452
Alaska,district 3,"Miller, Joe",Libertarian,regular,2367,7452
Alaska,district 3,"Murkowski, Lisa",Republican,regular,2341,7452
Alaska,district 3,"Stock, Margaret",New alliance,regular,269,7452
Alaska,district 3,Write in,Other,absentee,3,7452
Alaska,district 3,"Craig, Breck A.",New alliance,absentee,13,7452
Alaska,district 3,"Gianoutsos, Ted",New alliance,absentee,5,7452
Alaska,district 3,"Metcalfe, Ray",Democratic,absentee,97,7452
Alaska,district 3,"Miller, Joe",Libertarian,absentee,343,7452
Alaska,district 3,"Murkowski, Lisa",Republican,absentee,546,7452
Alaska,district 3,"Stock, Margaret",New alliance,absentee,39,7452
Alaska,district 3,Write in,Other,early,1,7452
Alaska,district 3,"Craig, Breck A.",New alliance,early,7,7452
Alaska,district 3,"Gianoutsos, Ted",New alliance,early,8,7452
Alaska,district 3,"Metcalfe, Ray",Democratic,early,84,7452
Alaska,district 3,"Miller, Joe",Libertarian,early,414,7452
Alaska,district 3,"Murkowski, Lisa",Republican,early,473,7452
Alaska,district 3,"Stock, Margaret",New alliance,early,81,7452
Alaska,district 4,Write in,Other,regular,18,9408
Alaska,district 4,"Craig, Breck A.",New alliance,regular,35,9408
Alaska,district 4,"Gianoutsos, Ted",New alliance,regular,35,9408
Alaska,district 4,"Metcalfe, Ray",Democratic,regular,595,9408
Alaska,district 4,"Miller, Joe",Libertarian,regular,1785,9408
Alaska,district 4,"Murkowski, Lisa",Republican,regular,2659,9408
Alaska,district 4,"Stock, Margaret",New alliance,regular,1165,9408
Alaska,district 4,Write in,Other,absentee,4,9408
Alaska,district 4,"Craig, Breck A.",New alliance,absentee,4,9408
Alaska,district 4,"Gianoutsos, Ted",New alliance,absentee,6,9408
Alaska,district 4,"Metcalfe, Ray",Democratic,absentee,263,9408
Alaska,district 4,"Miller, Joe",Libertarian,absentee,303,9408
Alaska,district 4,"Murkowski, Lisa",Republican,absentee,520,9408
Alaska,district 4,"Stock, Margaret",New alliance,absentee,219,9408
Alaska,district 4,Write in,Other,early,7,9408
Alaska,district 4,"Craig, Breck A.",New alliance,early,8,9408
Alaska,district 4,"Gianoutsos, Ted",New alliance,early,3,9408
Alaska,district 4,"Metcalfe, Ray",Democratic,early,284,9408
Alaska,district 4,"Miller, Joe",Libertarian,early,356,9408
Alaska,district 4,"Murkowski, Lisa",Republican,early,745,9408
Alaska,district 4,"Stock, Margaret",New alliance,early,394,9408
